ProductId;Category;Name;ShortDescription;SupplierName;Weight;WeightUnit;Price;Status;CurrencyCode;DimensionWidth;DimensionDepth;DimensionHeight;DimensionUnit;PictureUrl
HT-1000;LT;Notebook Basic 15;Notebook Basic 15 with 2,80 GHz quad core, 15" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Very Best Screens;4.2;KG;956;A;EUR;30;18;3;cm;sap/ui/demo/mock/images/HT-1000.jpg
HT-1001;LT;Notebook Basic 17;Notebook Basic 17 with 2,80 GHz quad core, 17" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Very Best Screens;4.5;KG;1249;A;EUR;29;17;3.1;cm;sap/ui/demo/mock/images/HT-1001.jpg
HT-1002;LT;Notebook Basic 18;Notebook Basic 18 with 2,80 GHz quad core, 18" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;Very Best Screens;4.2;KG;1570;A;EUR;28;19;2.5;cm;sap/ui/demo/mock/images/HT-1002.jpg
HT-1003;LT;Notebook Basic 19;Notebook Basic 19 with 2,80 GHz quad core, 19" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;Smartcards;4.2;KG;1650;A;EUR;32;21;4;cm;sap/ui/demo/mock/images/HT-1003.jpg
HT-1007;AC;ITelO Vault;Digital Organizer with State-of-the-Art Storage Encryption;Technocom;0.2;KG;299;D;EUR;32;22;3;cm;sap/ui/demo/mock/images/HT-1007.jpg
HT-1010;AC;Notebook Professional 15;Notebook Professional 15 with 2,80 GHz quad core, 15" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;Very Best Screens;4.3;KG;1999;A;EUR;33;20;3;cm;sap/ui/demo/mock/images/HT-1010.jpg
HT-1011;LT;Notebook Professional 17;Notebook Professional 17 with 2,80 GHz quad core, 17" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;Very Best Screens;4.1;KG;2299;O;EUR;33;23;2;cm;sap/ui/demo/mock/images/HT-1011.jpg
HT-1020;AC;ITelO Vault Net;Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications;Technocom;0.16;KG;459;O;EUR;10;1.8;17;cm;sap/ui/demo/mock/images/HT-1020.jpg
HT-1021;AC;ITelO Vault SAT;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link;Technocom;0.18;KG;149;D;EUR;11;1.7;18;cm;sap/ui/demo/mock/images/HT-1021.jpg
HT-1022;AC;Comfort Easy;32 GB Digital Assistant with high-resolution color screen;Technocom;0.2;KG;1679;A;EUR;84;1.5;14;cm;sap/ui/demo/mock/images/HT-1022.jpg
HT-1023;AC;Comfort Senior;64 GB Digital Assistant with high-resolution color screen and synthesized voice output;Technocom;0.8;KG;512;A;EUR;80;1.6;13;cm;sap/ui/demo/mock/images/HT-1023.jpg
HT-1030;FT;Ergo Screen E-I;Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm;Very Best Screens;21;KG;230;D;EUR;37;12;36;cm;sap/ui/demo/mock/images/HT-1030.jpg
HT-1031;FT;Ergo Screen E-II;Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz, Dot Pitch: 0.26mm;Very Best Screens;21;KG;285;O;EUR;40.8;19;43;cm;sap/ui/demo/mock/images/HT-1031.jpg
HT-1032;FT;Ergo Screen E-III;Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz, Dot Pitch: 0.25mm;Very Best Screens;21;KG;345;A;EUR;40.8;19;43;cm;sap/ui/demo/mock/images/HT-1032.jpg
HT-1035;FT;Flat Basic;Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz, Dot Pitch: 0.24mm;Very Best Screens;14;KG;399;A;EUR;39;20;41;cm;sap/ui/demo/mock/images/HT-1035.jpg
HT-1036;FT;Flat Future;Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.26mm;Very Best Screens;15;KG;430;O;EUR;45;26;46;cm;sap/ui/demo/mock/images/HT-1036.jpg
